Date,Close,High,Low,Open,Volume,RollingMean,UpperBand,LowerBand
2016-01-01,297.97600830078125,298.9960083007813,295.18800415039067,296.5480041503906,7765495,,,
2016-01-04,299.54,301.5119958496094,297.90800415039064,298.52000000000004,9050253,,,
2016-01-05,299.94800415039066,301.24,297.3639916992188,298.72399169921874,11230588,,,
2016-01-06,297.4319958496094,299.7439916992188,296.7519958496094,297.84000000000003,8950589,,,
2016-01-07,297.02399169921875,300.08399169921876,295.8,298.9280041503906,8855041,,,
2016-01-08,303.68800415039067,305.5919958496094,297.70399169921876,299.0639916992188,15841299,,,
2016-01-11,301.8519958496094,304.98,300.83199584960937,303.7560083007813,8020695,,,
2016-01-12,302.94,304.1639916992188,301.3760083007813,302.6,13158894,,,
2016-01-13,304.5719958496094,307.08800415039065,302.94,304.5039916992188,11501088,,,
2016-01-14,302.7360083007813,305.72800415039063,302.32800415039065,304.5719958496094,10569725,,,
2016-01-15,305.45600830078126,306.8160083007813,301.03600830078125,302.7360083007813,12318313,,,
2016-01-18,300.22,309.12800415039067,299.6080041503906,305.45600830078126,14394097,,,
2016-01-19,299.6760083007813,302.46399169921875,297.4319958496094,300.22,11473796,,,
2016-01-20,297.5,302.1239916992188,296.48,299.94800415039066,17329896,,,
2016-01-21,295.18800415039067,299.88,293.76000000000005,297.16,16586264,,,
2016-01-22,288.0480041503906,296.14000000000004,286.82399169921877,295.18800415039067,17354942,,,
2016-01-25,291.44800415039066,291.9919958496094,284.9880041503906,288.32,18322935,,,
2016-01-26,291.8560083007813,293.08000000000004,287.09600830078125,287.3,23149684,,,
2016-01-27,295.9360083007813,298.18,292.53600830078125,292.53600830078125,15276991,,,
2016-01-28,299.4719958496094,300.22,295.2560083007813,297.16,15039006,298.62540228271484,307.73835947195397,289.5124450934757
2016-01-29,309.74,311.16800415039063,298.0439916992188,300.56,43207074,299.2136018676758,309.5821925075249,288.84501122782666
2016-02-01,315.7239916992188,317.28800415039063,311.44,312.8,41130638,300.02280145263677,312.7552862111908,287.2903166940827
2016-02-02,318.8519958496094,319.8719958496094,315.24800415039067,315.7239916992188,27845963,300.9680010375977,316.2321090622672,285.7038930129281
2016-02-03,318.64800415039065,324.36,314.90800415039064,322.66,56705951,302.02880145263674,319.1001066934242,284.9574962118493
2016-02-04,313.0719958496094,319.26000000000005,310.76000000000005,318.24,24171083,302.8312016601563,320.4129927636069,285.2494105567057
2016-02-05,314.5,315.9280041503906,311.50800415039066,313.20800415039065,16201280,303.37180145263676,321.71300516048996,285.03059774478356
2016-02-08,313.0039916992188,316.88,311.1,315.9280041503906,11893807,303.9294012451172,322.74792380139536,285.1108786888391
2016-02-09,315.86,317.4239916992188,309.74,311.0319958496094,19563580,304.5754012451172,324.1237957681391,285.0270067220953
2016-02-10,316.1319958496094,317.28800415039063,312.52800415039064,315.52000000000004,18096561,305.1534012451172,325.3734376722149,284.9333648180195
2016-02-11,298.4519958496094,307.36,297.16,307.36,22745228,304.93920062255864,325.35686224845716,284.5215389966601
2016-02-12,303.28000000000003,303.96000000000004,297.22800415039063,300.56,12875311,304.8304002075196,325.25965379774055,284.4011466172986
2016-02-15,302.94,305.5919958496094,301.71600830078125,304.3680041503907,11231596,304.96640020751954,325.3024263865137,284.6303740285254
2016-02-16,302.8039916992188,305.1160083007813,300.3560083007813,303.34800415039064,14024149,305.1227993774414,325.3352492333742,284.91034952150864
2016-02-17,301.78399169921875,303.8919958496094,301.24,302.8039916992188,8670947,305.3369989624024,325.29855570328664,285.37544222151814
2016-02-18,296.48,300.96800415039064,295.32399169921877,299.6080041503906,16129017,305.40159875488285,325.23280050194273,285.570397007823
2016-02-19,292.1960083007813,294.9839916992188,289.68,292.40000000000003,25749340,305.6089989624024,324.7508173306415,286.46718059416327
2016-02-22,293.6919958496094,295.8,292.46800415039064,294.84800415039064,11014283,305.7211985473633,324.53705503955354,286.9053420551731
2016-02-23,283.56,290.08800415039065,281.52000000000004,285.6,41341523,305.3063981323242,325.7081895737134,284.904606690935
2016-02-24,290.9719958496094,294.44,286.34800415039064,287.64000000000004,23633656,305.05819750976565,326.05216159878324,284.06423342074805
2016-02-25,293.5560083007813,294.3719958496094,286.68800415039067,289.9519958496094,20034633,304.7623981323242,326.2487010936334,283.2760951710151
2016-02-26,292.8080041503907,294.57600830078127,288.9319958496094,291.58399169921876,19295994,303.9157983398438,325.90472934442045,281.9268673352671
2016-02-29,298.38399169921877,299.4719958496094,293.76000000000005,293.82800415039065,28532668,303.04879833984376,324.4365510390727,281.6610456406148
2016-03-01,306.68,309.26399169921876,295.12,296.0719958496094,66835736,302.4401985473633,322.5915079526545,282.2888891420721
2016-03-02,305.9319958496094,308.72,299.33600830078126,301.92,45258669,301.80439813232425,320.5563657687652,283.0524304958833
2016-03-03,308.58399169921876,310.6919958496094,304.3,304.5039916992188,36036336,301.5799979248047,319.8658532589557,283.2941425906536
2016-03-04,311.78000000000003,314.70399169921876,307.4960083007813,309.6719958496094,42294906,301.4439979248047,319.36201631202755,283.52597953758186
2016-03-07,315.52000000000004,316.20000000000005,309.8760083007813,314.16,36132245,301.56979833984377,319.8609922657168,283.27860441397075
2016-03-08,321.4360083007813,322.45600830078126,313.0039916992188,315.38399169921877,41699184,301.8485987548828,321.19637857396555,282.50081893580005
2016-03-09,325.04,325.6519958496094,320.00800415039066,321.3,35113638,302.2939989624023,323.3600944760635,281.22790344874113
2016-03-10,323.47600830078125,328.3039916992188,320.82399169921877,325.04,32998305,303.545199584961,326.535189524019,280.55520964590295
2016-03-11,329.9360083007813,330.48,325.1760083007813,326.40000000000003,21629521,304.87800000000004,330.71734410349353,279.03865589650655
2016-03-14,333.0639916992188,333.7439916992188,330.0719958496094,333.54,34223740,306.384199584961,335.09972677237477,277.6686723975472
2016-03-15,332.52000000000004,336.94,331.56800415039066,334.4239916992188,27975134,307.87,338.7956229999988,276.9443770000012
2016-03-16,339.66,341.02000000000004,331.22800415039063,332.58800415039065,36945426,309.7638004150391,343.6201758635609,275.9074249665173
2016-03-17,342.72,345.0319958496094,337.96000000000004,341.9719958496094,40491633,312.07580041503905,348.3422184337015,275.80938239637663
2016-03-18,346.59600830078125,348.84000000000003,341.9719958496094,342.6519958496094,38239419,314.795800415039,352.89794216590445,276.6936586641736
2016-03-21,344.5560083007813,347.82000000000005,338.98,347.20800415039065,29284643,317.3390010375977,356.2906978363916,278.38730423880384
2016-03-22,349.58798339843753,350.88000000000005,343.46800415039064,345.44,24916402,320.6404002075196,358.72024974635895,282.5605506686802
2016-03-23,346.2560083007813,350.20000000000005,345.1,349.58798339843753,18122714,323.40460083007815,360.42802166348577,286.38117999667054
2016-03-24,338.9119958496094,348.70399169921876,338.1639916992188,346.9360083007813,17603827,325.67240020751956,360.48820899566823,290.8565914193709
2016-03-25,340.88399169921877,345.9160083007813,339.32000000000005,339.45600830078126,25656796,328.076199584961,359.8432017662784,296.30919740364357
2016-03-28,344.4880041503906,347.27600830078126,338.3680041503907,340.0,14305709,330.38140020751956,359.6707647324439,301.0920356825952
2016-03-29,347.4119958496094,350.7439916992188,341.4960083007813,344.21600830078125,15907398,332.418,360.40370196832185,304.43229803167816
2016-03-30,352.8520166015625,356.1160083007813,346.9360083007813,348.2279833984375,27183142,334.76400103759767,361.2261443882867,308.30185768690865
2016-03-31,353.0560083007813,358.15600830078125,349.9279833984375,350.20000000000005,19597941,336.98760186767583,361.59603227427147,312.3791714610802
2016-04-01,349.0439916992188,356.59201660156253,347.88800415039066,350.88000000000005,16061089,338.85080145263674,360.9366798348693,316.76492307040417
2016-04-04,364.20798339843753,365.63600830078127,348.16,350.88000000000005,37826800,341.2852006225586,363.2761940279216,319.2942072171956
2016-04-05,363.8,371.4839916992188,361.76000000000005,365.5,46147653,343.40340020751955,365.5051189907886,321.3016814242505
2016-04-06,360.12798339843755,365.3639916992188,357.8160083007813,362.9839916992188,23553762,345.1577993774414,366.68500253193173,323.63059622295106
2016-04-07,366.58798339843753,368.01600830078127,358.5639916992188,360.8079833984375,21414383,347.31339813232427,368.3270170866601,326.29977917798846
2016-04-08,367.33600830078126,370.6,363.46000000000004,364.48,24399444,349.1833981323242,370.34175396836355,328.0250422962849
2016-04-11,355.70798339843753,370.6,351.9679833984375,369.92,23380138,350.3155977172852,370.22887566858196,330.4023197659884
2016-04-12,352.9879833984375,361.01201660156255,350.26798339843754,357.5439916992188,24510612,351.33899688720703,369.42109017561086,333.2569035988032
2016-04-13,354.14399169921876,359.65201660156254,353.0560083007813,353.1920166015625,23412279,352.063196472168,369.31702711232884,334.80936583200713
2016-04-14,355.09600830078125,357.68,351.62798339843755,353.6,15671273,352.68199688720705,369.40446232526926,335.95953144914483
2016-04-15,347.14000000000004,352.24,343.40000000000003,351.9679833984375,24208645,352.709196472168,369.39170363657223,336.0266893077638
2016-04-18,352.1720166015625,354.5520166015625,348.5,348.9760083007813,20536714,353.0899968872071,369.33073592187486,336.8492578525394
2016-04-19,350.20000000000005,351.56,347.82000000000005,348.4320166015625,16580824,353.1205977172852,369.3358399046735,336.9053555298969
2016-04-20,355.09600830078125,358.6320166015625,351.08399169921876,352.92,27924384,353.5625977172852,369.46896357498724,337.65623185958316
2016-04-21,352.9879833984375,357.68,351.56,357.68,20419904,354.2663970947266,368.612440969366,339.9203532200872
2016-04-22,357.88399169921877,359.72,349.58798339843753,350.88000000000005,18965820,355.1163970947266,368.070899235152,342.1618949543012
2016-04-25,353.26000000000005,361.82798339843754,351.6960083007813,359.04,25951999,355.55499688720704,367.5530399306167,343.5569538437974
2016-04-26,356.38798339843754,360.6720166015625,354.14399169921876,356.32000000000005,17932895,356.0037962646485,367.37443165073165,344.6331608785653
2016-04-27,362.64399169921876,363.59600830078125,352.1039916992188,352.24,34490123,356.49339501953125,368.1326955021693,344.8540945368932
2016-04-28,357.6120166015625,361.96399169921875,354.3479833984375,361.96399169921875,21403710,356.72119543457035,368.25509125608266,345.18729961305803
2016-04-29,353.26000000000005,362.8479833984375,352.3760083007813,356.32000000000005,18033260,356.9319958496094,368.02061264194674,345.84337905727205
2016-05-02,347.6839916992188,356.59201660156253,342.38000000000005,352.24,17344099,356.10579626464846,367.3727131559242,344.8388793733727
2016-05-03,343.94399169921877,348.70399169921876,338.84399169921875,346.8,20044726,355.1129958496094,367.0070624199223,343.21892927929645
2016-05-04,351.6960083007813,354.7560083007813,346.12,346.7319958496094,11921627,354.6913970947266,366.4337871194639,342.9490070699893
2016-05-05,345.57600830078127,353.53201660156253,344.08000000000004,353.53201660156253,8186859,353.64079833984374,364.6377747558735,342.64382192381396
2016-05-06,359.9920166015625,361.08000000000004,346.52800415039064,346.8,17797974,353.2735987548828,362.72727045294266,343.81992705682296
2016-05-09,362.8479833984375,364.20798339843753,357.88399169921877,361.76000000000005,20200332,353.63059875488284,363.9691846139967,343.292012895769
2016-05-10,374.88399169921877,379.78000000000003,357.13600830078127,357.13600830078127,78287713,354.7253991699219,368.75568368228187,340.69511465756193
2016-05-11,380.8,383.9960083007813,376.72,376.72,32370771,356.058199584961,374.2909164566713,337.8254827132507
2016-05-12,373.32000000000005,381.4120166015625,371.3479833984375,380.8,21700165,356.9693991699219,376.7550403181326,337.18375802171124
2016-05-13,368.3560083007813,374.0,367.20000000000005,374.0,15547968,358.030199584961,377.87179283785844,338.18860633206356
2016-05-16,370.8720166015625,372.5039916992188,367.88000000000005,371.21201660156254,15288648,358.96519958496094,379.3980491159164,338.53235005400546
2016-05-17,362.71201660156254,364.82000000000005,358.83600830078126,364.82000000000005,18420159,359.5908004150391,379.6565541724631,339.5250466576151
2016-05-18,366.1120166015625,368.15201660156254,360.4679833984375,365.84000000000003,13468067,360.1416008300781,380.29244896822337,339.99075269193287
2016-05-19,365.9079833984375,368.56,363.9360083007813,367.88000000000005,11819102,360.7876008300782,380.80075355168776,340.7744481084686
2016-05-20,368.08399169921876,373.32000000000005,362.3039916992188,365.9079833984375,23208345,361.2976008300781,381.5179876896091,341.0772139705472
